country,yearly_avg_temp,year_
Czech Republic,9.281,2013
Romania,11.6455,2013
Russia,-2.2631250000000014,2013
Monaco,10.417,2013
Peru,19.97625,2013
Latvia,7.322375,2013
Finland,4.064125,2013
China (People's Republic of),9.295,2013
South Africa,17.325375,2013
Colombia,25.579500000000003,2013
Ireland,9.97475,2013
Indonesia,26.467,2013
United States,11.297111111111112,2013
OECD - Europe,9.67025,2013
Slovenia,11.74475,2013
Croatia,13.589,2013
Hungary,12.3015,2013
India,25.41325,2013
Denmark,-14.927249999999999,2013
Bulgaria,13.411874999999998,2013
Liechtenstein,6.002375,2013
Canada,-1.640666666666666,2013
Belgium,10.060125,2013
Switzerland,8.1775,2013
Costa Rica,26.457555555555555,2013
Brazil,25.348125,2013
Iran,20.541000000000004,2013
United Kingdom,8.997500000000002,2013
Iceland,2.9202500000000002,2013
Poland,9.257875,2013
Portugal,15.88925,2013
Austria,8.055125,2013
TÃ¼rkiye,14.026625,2013
Malta,19.437375000000003,2013
Spain,14.858875000000001,2013
Saudi Arabia,27.74075,2013
Japan,12.96475,2013
Israel,21.222375,2013
Ukraine,10.913499999999999,2013
Norway,1.7353749999999994,2013
France,13.584625,2013
Australia,22.142874999999997,2013
Estonia,6.961749999999999,2013
Netherlands,9.8565,2013
Luxembourg,9.90025,2013
Italy,14.165,2013
Cyprus,20.349875,2013
Lithuania,7.804,2013
Germany,9.23525,2013
Belarus,8.2665,2013
Sweden,4.19975,2013
Kazakhstan,8.93725,2013
Mexico,22.219222222222225,2013
New Zealand,11.0885,2013
Greece,17.1535,2013
Chile,9.877374999999997,2013
Argentina,14.457124999999998,2013
